"","x"
"1",8.66572849771552
"2",4.28320851217503
"3",3.30936514635905
"4",3.28739471843139
"5",7.92128315515948
"6",4.62028472395277
"7",6.77139155945309
"8",6.01173920885702
"9",5.254690362674
"10",12.5453092211375
"11",5.33368189521473
"12",4.54871746824128
"13",5.07475679827051
"14",3.20639285751634
"15",4.92371737965892
"16",5.39739799596956
"17",5.213551189887
"18",6.75077065314655
"19",2.69170429817706
"20",8.35848173093198
"21",1.85271512674678
"22",2.07200057437518
"23",5.82127082419951
"24",5.75900828634036
"25",5.80933168909861
