"","x"
"1",0.320517186625691
"2",0.0833612065549612
"3",0.109860003051555
"4",0.11194373019526
"5",0.171863849175727
"6",0.125940419008899
"7",0.139457149288226
"8",0.145190110819932
"9",0.145994644848139
"10",0.273842506555771
"11",0.11087825953497
"12",0.0967339320235856
"13",0.121466511334069
"14",0.128088121469604
"15",0.100543402679862
"16",0.12589447364943
"17",0.112392307909506
"18",0.126940233756295
"19",0.0565119720054156
"20",0.164356194317688
"21",0.0339359927233083
"22",0.0347847545077098
"23",0.153929507230739
"24",0.130579439999
"25",0.113636217184795
