"","x"
"1",-0.419184164770442
"2",-0.145938697930623
"3",-0.334423248087976
"4",0.623486474776656
"5",0.101769453254765
"6",-0.368944884342498
"7",0.266411241159732
"8",0.0997762408849964
"9",0.117113906467946
"10",0.182531284246908
"11",-0.194653112416562
"12",-0.777450010830712
"13",-0.3433586081479
"14",-0.131243890325679
"15",-0.599254513178032
"16",-0.00342608654323295
"17",0.0435830416315704
"18",-0.150962391046771
"19",0.357762147107154
"20",0.0704700508269338
"21",-0.14396396050026
"22",-0.232227633440316
