"","x"
"1",0.101524384828873
"2",0.0620160235804535
"3",0.0794021900538057
"4",0.154358984226942
"5",0.0675622007394561
"6",0.0991697460530422
"7",0.0685471992438566
"8",0.0763259157405376
"9",0.0704543666738975
"10",0.0684612107030403
"11",0.07761232734999
"12",0.149598636101212
"13",0.0957138550237331
"14",0.0761209448739188
"15",0.0756079971342958
"16",0.0609405792158383
"17",0.0807590543042873
"18",0.0588682327069363
"19",0.085691944064797
"20",0.0783613580068796
"21",0.0736529689337566
"22",0.0701225841622389
