"","x"
"1",0.000310213004600078
"2",0.692519774968454
"3",0.000884531191600092
"4",0.00583471354451776
"5",0.690037502481176
"6",0.000398959083171514
"7",0.263653455794964
"8",0.493415235206112
"9",0.290643169538854
"10",0.00256991546127995
"11",0.415363000679545
"12",0.792994872152838
"13",0.000845588287327838
"14",0.00135450245492994
"15",0.000217004061715235
"16",0.610071470984426
"17",0.372822709423461
"18",0.000535667740966582
"19",0.000494500566914219
"20",0.541745278437993
"21",0.372501772791805
"22",0.216026844544682
