"","x"
"1",0.017942458253881
"2",0.0189320319775061
"3",0.0467642054781415
"4",0.0274748858627458
"5",0.00915060967339426
"6",0.0121198555756902
"7",0.0426600918127592
"8",0.0338490605022202
"9",0.0150932353597938
"10",0.0138004435624695
"11",0.00442843545050689
"12",0.0290331807030019
"13",0.0539539511868135
"14",0.124446851533875
"15",0.0296389294395446
"16",0.0654966516210244
"17",0.0633147794425498
"18",0.00987126632697645
"19",0.0237647288573438
"20",0.010678229363921
"21",0.0261942156536347
"22",0.00719889804315261
"23",0.013747081009481
"24",0.0342076228059856
"25",0.0730780793454641
