"","x"
"1",8.79117757669852
"2",4.1318055530536
"3",3.35955312843904
"4",3.07511598454562
"5",6.87128501383285
"6",4.75082436966809
"7",6.91483237940288
"8",6.00180234413061
"9",5.57164132608197
"10",11.4866238241684
"11",5.51543320778388
"12",4.57174652184755
"13",5.31216649140804
"14",3.15618852764173
"15",4.94829309867946
"16",5.60725618669451
"17",5.59788942718092
"18",6.13568790428481
"19",2.61930135531412
"20",7.58781286223988
"21",2.09997321122319
"22",2.14504794029975
"23",6.15302217029573
"24",5.94352498604143
"25",6.14852468847002
