"","x"
"1",0.314194424137331
"2",0.0761441396685942
"3",0.103141425468659
"4",0.0893721300173734
"5",0.131657998161132
"6",0.119965991037539
"7",0.136853565159143
"8",0.137769413313412
"9",0.148980390639207
"10",0.225134999458469
"11",0.111361917793346
"12",0.0931939856400281
"13",0.123615732841234
"14",0.121113120576498
"15",0.0927388320665602
"16",0.121280545546764
"17",0.112906973746727
"18",0.105967869250241
"19",0.0516906064795391
"20",0.137030872525435
"21",0.0348791811349466
"22",0.0354374890855313
"23",0.151510960684132
"24",0.127852684832506
"25",0.110903436382869
