"","x"
"1",0.0826496713130557
"2",-0.217232890121858
"3",-0.352709694205065
"4",-0.197295664377398
"5",0.0463596019710769
"6",0.112771385320393
"7",-0.00304427980519598
"8",-0.0261646467438731
"9",-0.164775410812607
"10",0.0154130509598128
"11",0.168125809554115
"12",0.0880463327585959
"13",-0.087331457579961
"14",-0.00284961917165866
"15",0.00819479033811035
"16",-0.000976476104291746
"17",-0.1124187233623
"18",-0.0346724686626772
"19",-0.00106402517033713
"20",-0.0477718002640864
"21",0.0844577005202126
"22",0.480963327560152
"23",-0.0276601869874846
"24",0.203749827055497
"25",0.031914889795481
