"","x"
"1",0.0766356572217147
"2",0.0411062992913531
"3",0.0634265140607242
"4",0.07274023080557
"5",0.065021822574449
"6",0.066650428961977
"7",0.0427536257684827
"8",0.0486849184594203
"9",0.0614071303586723
"10",0.0600402725508424
"11",0.0598645803109763
"12",0.0438082298945265
"13",0.0475768640073029
"14",0.0688370448238839
"15",0.045514802355434
"16",0.0556581923458283
"17",0.0473318454637378
"18",0.0522411717406683
"19",0.0469408468644997
"20",0.053842179769472
"21",0.034924815487657
"22",0.0486030067107277
"23",0.0610209984014128
"24",0.0473722346782475
"25",0.0454317379716368
