"","x"
"1",7.10015391056527
"2",3.30112651279852
"3",3.39585636380876
"4",2.52350112397721
"5",4.46191557028036
"6",3.61671735443117
"7",6.26525884973675
"8",6.3203818307329
"9",4.04394182022015
"10",7.51536481053026
"11",3.77099473496399
"12",6.11270245081595
"13",5.77118717167209
"14",4.37197977607576
"15",3.43199383096056
"16",4.0794787816704
"17",4.1138111436051
"18",3.51204241001744
"19",3.07131524193386
"20",4.72364138105008
"21",0.772255520203686
"22",1.20757926571132
"23",4.54654015916857
"24",5.2950088105035
"25",4.30401040015517
