"","x"
"1",0.361979472941309
"2",0.13201390195062
"3",0.133594536807929
"4",0.105358681257197
"5",0.17752681932814
"6",0.161419068393975
"7",0.201048159663294
"8",0.205640587543776
"9",0.168364090722181
"10",0.287758748479059
"11",0.154159481687503
"12",0.182224304273431
"13",0.190440894517815
"14",0.207726616978987
"15",0.128111630776098
"16",0.143087001275759
"17",0.148822024080262
"18",0.151802379127028
"19",0.097710257625386
"20",0.187140155029904
"21",0.0733146233622316
"22",0.0501708651606679
"23",0.181750288537445
"24",0.172034771197199
"25",0.153170984333052
