"","x"
"1",0.0650385049444232
"2",0.0396429233245965
"3",0.0670350560086922
"4",0.0641256793540027
"5",0.0475186896694987
"6",0.0559646286200939
"7",0.0414747217278126
"8",0.0483866186867133
"9",0.0540430452521382
"10",0.0475281091744733
"11",0.0500487449320735
"12",0.0468960509296842
"13",0.0475057397773275
"14",0.0745482075926087
"15",0.0403832537557339
"16",0.047278654626173
"17",0.0429722917526454
"18",0.0414035572185162
"19",0.0490397025961978
"20",0.0417424825225525
"21",0.0312566578028459
"22",0.0406158819723835
"23",0.0536287296586535
"24",0.0440716118024385
"25",0.0402355062480952
