"","x"
"1",9.00952500006496
"2",4.12636621936966
"3",3.35807529097389
"4",3.17963782461457
"5",7.59507717794246
"6",4.75894386731248
"7",7.13789018408027
"8",6.05318080967967
"9",5.61808288051425
"10",12.085641954154
"11",5.48703521897389
"12",4.57423077456253
"13",5.89882511958164
"14",3.2568448849409
"15",4.89895198594455
"16",5.59469191760789
"17",5.62159939854337
"18",6.45679938153213
"19",2.65200554813135
"20",7.94939354484235
"21",1.77882835407943
"22",2.96455317274966
"23",6.09515409227559
"24",6.00027578299299
"25",6.26753803727477
