"","x"
"1",0.334482182596745
"2",0.0806245790193065
"3",0.108780315293377
"4",0.10587278382897
"5",0.164947205268563
"6",0.125244434144474
"7",0.158350918783894
"8",0.144218230504151
"9",0.159095443379506
"10",0.259653198497828
"11",0.111048170334033
"12",0.0964180988794406
"13",0.18026985512423
"14",0.152369227666744
"15",0.0950773287924497
"16",0.124736508578785
"17",0.124165213280885
"18",0.120382163894912
"19",0.0545625963805904
"20",0.155770594914724
"21",0.0454621545978465
"22",0.0334179243314966
"23",0.152160593441836
"24",0.133442295845772
"25",0.132519838064884
