"","x"
"1",0.0834942612821585
"2",-0.132504780859342
"3",-0.395397558552127
"4",-0.202774707572044
"5",0.0266769571653586
"6",0.120359717838532
"7",-0.0221283897651972
"8",-0.035097279311352
"9",-0.213740837808955
"10",0.0698157583932036
"11",0.230125023952622
"12",0.0955458371233959
"13",-0.112422991274882
"14",-0.00841646655748884
"15",-0.10316201581536
"16",0.0140315617760517
"17",-0.154678879989991
"18",0.143250023967198
"19",-0.0147293600471732
"20",-0.0700283457434104
"21",-0.155729119737644
"22",0.544713881714729
"23",-0.0872373436302204
"24",0.191877032831597
"25",-0.0314485590432952
