"","x"
"1",0.0791312884843905
"2",0.0242356280153841
"3",0.0703707780552332
"4",0.0655295297142594
"5",0.0557340213760339
"6",0.0675412657161744
"7",0.0516961679847866
"8",0.0510443369952418
"9",0.0656300284636562
"10",0.0513302344370815
"11",0.0622138116225472
"12",0.0448061461287322
"13",0.059478085677267
"14",0.0727452567561883
"15",0.056629983658818
"16",0.0590269623416875
"17",0.0566241077149621
"18",0.0364060869955568
"19",0.0404816978821862
"20",0.0389040134879502
"21",0.0453712898032527
"22",0.00515653411834033
"23",0.0659283153650684
"24",0.0528581243909779
"25",0.0543002600448719
