"","x"
"1",0.404312376511652
"2",0.750327067286856
"3",0.431679693720728
"4",0.650982863917941
"5",0.781841903145441
"6",0.534968519461635
"7",0.326354769190509
"8",0.476433066082139
"9",0.350100477535472
"10",0.676500232210412
"11",0.383740877441459
"12",0.473013494332986
"13",0.292892488037899
"14",0.44801639748675
"15",0.356857817318014
"16",0.448161831529816
"17",0.29730282045351
"18",0.733917034894257
"19",0.656643730520237
"20",0.720948493150243
"21",0.0774699747282161
"22",0.999963153127255
"23",0.431369712575105
"24",0.385588596510105
"25",0.226902714363406
