"","x"
"1",0.0262321167511327
"2",0.0146607717100442
"3",0.0289544636404431
"4",0.0250937794823712
"5",0.01033196345433
"6",0.0261445707088498
"7",0.0231969489674213
"8",0.0229370943699494
"9",0.0218685989984862
"10",0.0147246637347899
"11",0.031833898614129
"12",0.0205055780528877
"13",0.024551437578909
"14",0.0503836831097796
"15",0.023377720811047
"16",0.0229550652273142
"17",0.0225779446494732
"18",0.0119673688096303
"19",0.0165274701648688
"20",0.0131781733853143
"21",0.0296379779294304
"22",0.000130303783467713
"23",0.0243712374149764
"24",0.0216735772342199
"25",0.0259759303213854
